"Timestamp","Year","Month","Day","Hour","PM2.5"
2017-11-07 12:00:00,2017,11,7,12,64.51
2017-11-07 13:00:00,2017,11,7,13,69.95
2017-11-07 14:00:00,2017,11,7,14,92.79
2017-11-07 15:00:00,2017,11,7,15,109.66
2017-11-07 16:00:00,2017,11,7,16,116.5
2017-11-07 17:00:00,2017,11,7,17,124.21
2017-11-07 18:00:00,2017,11,7,18,123.45
2017-11-07 19:00:00,2017,11,7,19,120.31
2017-11-07 20:00:00,2017,11,7,20,108.75
2017-11-07 21:00:00,2017,11,7,21,97.8
2017-11-07 22:00:00,2017,11,7,22,88.1
2017-11-07 23:00:00,2017,11,7,23,81.64
2017-11-08 00:00:00,2017,11,8,0,83.82
2017-11-08 01:00:00,2017,11,8,1,85.14
2017-11-08 02:00:00,2017,11,8,2,90.41
2017-11-08 03:00:00,2017,11,8,3,105.33
2017-11-08 04:00:00,2017,11,8,4,108.1
2017-11-08 05:00:00,2017,11,8,5,114.92
2017-11-08 06:00:00,2017,11,8,6,112.2
2017-11-08 07:00:00,2017,11,8,7,114.65
2017-11-08 08:00:00,2017,11,8,8,107.47
2017-11-08 09:00:00,2017,11,8,9,92.59
2017-11-08 10:00:00,2017,11,8,10,90.64
2017-11-08 11:00:00,2017,11,8,11,84.32
2017-11-08 12:00:00,2017,11,8,12,88.05
2017-11-08 14:00:00,2017,11,8,14,116.13
2017-11-08 15:00:00,2017,11,8,15,127.02
2017-11-08 16:00:00,2017,11,8,16,133.68
2017-11-08 17:00:00,2017,11,8,17,139.93
2017-11-08 18:00:00,2017,11,8,18,144.17
2017-11-08 19:00:00,2017,11,8,19,148.35
2017-11-08 20:00:00,2017,11,8,20,127.28
2017-11-08 21:00:00,2017,11,8,21,121.23
2017-11-08 22:00:00,2017,11,8,22,110.23
2017-11-08 23:00:00,2017,11,8,23,106.87
2017-11-09 00:00:00,2017,11,9,0,94.48
2017-11-09 01:00:00,2017,11,9,1,106.37
2017-11-09 02:00:00,2017,11,9,2,107.4
2017-11-09 03:00:00,2017,11,9,3,113.35
2017-11-09 04:00:00,2017,11,9,4,117.2
2017-11-09 05:00:00,2017,11,9,5,128.94
2017-11-09 06:00:00,2017,11,9,6,120.38
2017-11-09 07:00:00,2017,11,9,7,116.13
2017-11-09 08:00:00,2017,11,9,8,109.22
2017-11-09 09:00:00,2017,11,9,9,98.69
2017-11-09 10:00:00,2017,11,9,10,89.56
2017-11-09 11:00:00,2017,11,9,11,89.11
2017-11-09 12:00:00,2017,11,9,12,88.72
2017-11-09 13:00:00,2017,11,9,13,96.58
2017-11-09 14:00:00,2017,11,9,14,114.2
2017-11-09 15:00:00,2017,11,9,15,129.62
2017-11-09 16:00:00,2017,11,9,16,138.29
2017-11-09 17:00:00,2017,11,9,17,139
2017-11-09 18:00:00,2017,11,9,18,140.76
2017-11-09 19:00:00,2017,11,9,19,138.09
2017-11-09 20:00:00,2017,11,9,20,128.08
2017-11-09 21:00:00,2017,11,9,21,119.64
2017-11-09 22:00:00,2017,11,9,22,118.42
2017-11-09 23:00:00,2017,11,9,23,115.75
2017-11-10 00:00:00,2017,11,10,0,117.98
2017-11-10 01:00:00,2017,11,10,1,119.77
2017-11-10 02:00:00,2017,11,10,2,122.38
2017-11-10 03:00:00,2017,11,10,3,124.24
2017-11-10 04:00:00,2017,11,10,4,127.7
2017-11-10 05:00:00,2017,11,10,5,131.93
2017-11-10 06:00:00,2017,11,10,6,126.64
2017-11-10 07:00:00,2017,11,10,7,115.03
2017-11-10 08:00:00,2017,11,10,8,106.94
2017-11-10 09:00:00,2017,11,10,9,96.86
2017-11-10 11:00:00,2017,11,10,11,78.79
2017-11-10 12:00:00,2017,11,10,12,85.95
2017-11-10 13:00:00,2017,11,10,13,90.63
2017-11-10 14:00:00,2017,11,10,14,110.53
2017-11-10 15:00:00,2017,11,10,15,123.91
2017-11-10 16:00:00,2017,11,10,16,135.9
2017-11-10 17:00:00,2017,11,10,17,147.86
2017-11-10 18:00:00,2017,11,10,18,151.05
2017-11-10 19:00:00,2017,11,10,19,142.58
2017-11-10 20:00:00,2017,11,10,20,136.63
2017-11-10 22:00:00,2017,11,10,22,120.57
2017-11-10 23:00:00,2017,11,10,23,113.02
2017-11-11 00:00:00,2017,11,11,0,112.61
2017-11-11 01:00:00,2017,11,11,1,109.12
2017-11-11 02:00:00,2017,11,11,2,112.92
2017-11-11 03:00:00,2017,11,11,3,114.77
2017-11-11 04:00:00,2017,11,11,4,124.24
2017-11-11 05:00:00,2017,11,11,5,123.66
2017-11-11 06:00:00,2017,11,11,6,119.88
2017-11-11 07:00:00,2017,11,11,7,114.5
2017-11-11 08:00:00,2017,11,11,8,102.28
2017-11-11 09:00:00,2017,11,11,9,83.24
2017-11-11 10:00:00,2017,11,11,10,74.97
2017-11-11 11:00:00,2017,11,11,11,73.27
2017-11-11 12:00:00,2017,11,11,12,73.56
2017-11-11 13:00:00,2017,11,11,13,82.42
2017-11-11 14:00:00,2017,11,11,14,100.85
2017-11-11 15:00:00,2017,11,11,15,114.28
2017-11-11 17:00:00,2017,11,11,17,133.14
2017-11-11 18:00:00,2017,11,11,18,135.18
2017-11-11 19:00:00,2017,11,11,19,133.42
2017-11-11 21:00:00,2017,11,11,21,125.85
2017-11-11 22:00:00,2017,11,11,22,121.81
2017-11-11 23:00:00,2017,11,11,23,117.91
2017-11-12 00:00:00,2017,11,12,0,116.25
2017-11-12 01:00:00,2017,11,12,1,117.44
2017-11-12 02:00:00,2017,11,12,2,118.35
2017-11-12 03:00:00,2017,11,12,3,120.25
2017-11-12 04:00:00,2017,11,12,4,128.12
2017-11-12 05:00:00,2017,11,12,5,123.12
2017-11-12 06:00:00,2017,11,12,6,117.91
2017-11-12 07:00:00,2017,11,12,7,108.05
2017-11-12 08:00:00,2017,11,12,8,97.32
2017-11-12 09:00:00,2017,11,12,9,88.29
2017-11-12 10:00:00,2017,11,12,10,82.04
2017-11-12 11:00:00,2017,11,12,11,78.16
2017-11-12 16:00:00,2017,11,12,16,138.12
2017-11-12 17:00:00,2017,11,12,17,145.43
2017-11-12 18:00:00,2017,11,12,18,146.52
2017-11-12 19:00:00,2017,11,12,19,153.42
2017-11-12 20:00:00,2017,11,12,20,139.98
2017-11-12 21:00:00,2017,11,12,21,133.45
2017-11-12 22:00:00,2017,11,12,22,129.97
2017-11-12 23:00:00,2017,11,12,23,124.89
2017-11-13 00:00:00,2017,11,13,0,117.34
2017-11-13 01:00:00,2017,11,13,1,113.29
2017-11-13 02:00:00,2017,11,13,2,115.26
2017-11-13 03:00:00,2017,11,13,3,116.68
2017-11-13 04:00:00,2017,11,13,4,125.93
2017-11-13 05:00:00,2017,11,13,5,131.38
2017-11-13 06:00:00,2017,11,13,6,122.79
2017-11-13 07:00:00,2017,11,13,7,110.68
2017-11-13 08:00:00,2017,11,13,8,106.21
2017-11-13 09:00:00,2017,11,13,9,95.84
2017-11-13 10:00:00,2017,11,13,10,90.59
2017-11-13 11:00:00,2017,11,13,11,91.14
2017-11-13 12:00:00,2017,11,13,12,94.93
2017-11-13 13:00:00,2017,11,13,13,97.58
2017-11-13 14:00:00,2017,11,13,14,114.48
2017-11-13 15:00:00,2017,11,13,15,137.95
2017-11-13 16:00:00,2017,11,13,16,140.47
2017-11-13 17:00:00,2017,11,13,17,145.67
2017-11-13 18:00:00,2017,11,13,18,141.88
2017-11-13 19:00:00,2017,11,13,19,152.48
2017-11-13 20:00:00,2017,11,13,20,125.24
2017-11-13 21:00:00,2017,11,13,21,117.44
2017-11-13 22:00:00,2017,11,13,22,103.19
2017-11-13 23:00:00,2017,11,13,23,103.08
2017-11-14 00:00:00,2017,11,14,0,104.71
2017-11-14 01:00:00,2017,11,14,1,104.28
2017-11-14 02:00:00,2017,11,14,2,104.34
2017-11-14 03:00:00,2017,11,14,3,115.3
2017-11-14 04:00:00,2017,11,14,4,119.53
2017-11-14 05:00:00,2017,11,14,5,107.97
2017-11-14 06:00:00,2017,11,14,6,101.77
2017-11-14 07:00:00,2017,11,14,7,89.68
2017-11-14 08:00:00,2017,11,14,8,91.11
2017-11-14 09:00:00,2017,11,14,9,79.69
2017-11-14 10:00:00,2017,11,14,10,66.83
2017-11-14 11:00:00,2017,11,14,11,69.19
2017-11-14 12:00:00,2017,11,14,12,66.23
2017-11-14 13:00:00,2017,11,14,13,66.66
2017-11-14 14:00:00,2017,11,14,14,67.57
2017-11-14 15:00:00,2017,11,14,15,76.74
2017-11-15 05:00:00,2017,11,15,5,99.13
2017-11-15 06:00:00,2017,11,15,6,94.03
2017-11-15 07:00:00,2017,11,15,7,79.33
2017-11-15 08:00:00,2017,11,15,8,66.51
2017-11-15 10:00:00,2017,11,15,10,56.48
2017-11-15 11:00:00,2017,11,15,11,56.37
2017-11-15 13:00:00,2017,11,15,13,61.74
2017-11-15 14:00:00,2017,11,15,14,68.89
2017-11-15 15:00:00,2017,11,15,15,86.45
2017-11-15 16:00:00,2017,11,15,16,93.67
2017-11-15 17:00:00,2017,11,15,17,95.02
2017-11-15 18:00:00,2017,11,15,18,92.58
2017-11-15 19:00:00,2017,11,15,19,89.79
2017-11-15 20:00:00,2017,11,15,20,79.6
2017-11-15 21:00:00,2017,11,15,21,76.07
2017-11-15 22:00:00,2017,11,15,22,71.59
2017-11-15 23:00:00,2017,11,15,23,71.17
2017-11-16 00:00:00,2017,11,16,0,68.78
2017-11-16 01:00:00,2017,11,16,1,66.56
2017-11-16 02:00:00,2017,11,16,2,73.34
2017-11-16 03:00:00,2017,11,16,3,77.89
2017-11-16 04:00:00,2017,11,16,4,86.32
2017-11-16 05:00:00,2017,11,16,5,84.02
2017-11-16 06:00:00,2017,11,16,6,82.15
2017-11-16 07:00:00,2017,11,16,7,76.76
2017-11-16 08:00:00,2017,11,16,8,69.41
2017-11-16 09:00:00,2017,11,16,9,63.41
2017-11-16 10:00:00,2017,11,16,10,57.08
2017-11-16 11:00:00,2017,11,16,11,55.95
2017-11-16 12:00:00,2017,11,16,12,57.94
2017-11-16 13:00:00,2017,11,16,13,67.75
2017-11-16 14:00:00,2017,11,16,14,75.18
2017-11-16 15:00:00,2017,11,16,15,82.98
2017-11-16 16:00:00,2017,11,16,16,87.49
2017-11-16 17:00:00,2017,11,16,17,86.87
2017-11-16 18:00:00,2017,11,16,18,86.09
2017-11-16 19:00:00,2017,11,16,19,81.39
2017-11-16 20:00:00,2017,11,16,20,72.96
2017-11-16 21:00:00,2017,11,16,21,72.18
2017-11-16 22:00:00,2017,11,16,22,72.93
2017-11-16 23:00:00,2017,11,16,23,75.28
2017-11-17 00:00:00,2017,11,17,0,75.25
2017-11-17 01:00:00,2017,11,17,1,74.96
2017-11-17 02:00:00,2017,11,17,2,78.34
2017-11-17 03:00:00,2017,11,17,3,86.79
2017-11-17 04:00:00,2017,11,17,4,82.48
2017-11-17 05:00:00,2017,11,17,5,77.47
2017-11-17 06:00:00,2017,11,17,6,73.54
2017-11-17 08:00:00,2017,11,17,8,58.28
2017-11-17 09:00:00,2017,11,17,9,58.7
2017-11-17 10:00:00,2017,11,17,10,58.45
2017-11-17 11:00:00,2017,11,17,11,56.19
2017-11-17 12:00:00,2017,11,17,12,54.87
2017-11-17 13:00:00,2017,11,17,13,60.8
2017-11-17 14:00:00,2017,11,17,14,73.62
2017-11-17 15:00:00,2017,11,17,15,77.91
2017-11-17 18:00:00,2017,11,17,18,84.26
2017-11-17 20:00:00,2017,11,17,20,73.79
2017-11-17 23:00:00,2017,11,17,23,69.13
2017-11-18 00:00:00,2017,11,18,0,69.28
2017-11-18 02:00:00,2017,11,18,2,70.48
2017-11-18 07:00:00,2017,11,18,7,71.19
2017-11-18 08:00:00,2017,11,18,8,64.14
2017-11-18 09:00:00,2017,11,18,9,62.77
2017-11-18 10:00:00,2017,11,18,10,58.78
2017-11-18 11:00:00,2017,11,18,11,59.61
2017-11-18 12:00:00,2017,11,18,12,62.42
2017-11-18 13:00:00,2017,11,18,13,69.86
2017-11-18 14:00:00,2017,11,18,14,84.33
2017-11-18 15:00:00,2017,11,18,15,93.72
2017-11-18 16:00:00,2017,11,18,16,92.66
2017-11-18 17:00:00,2017,11,18,17,89.34
2017-11-18 18:00:00,2017,11,18,18,87.21
2017-11-18 19:00:00,2017,11,18,19,87.01
2017-11-18 20:00:00,2017,11,18,20,81.57
2017-11-18 22:00:00,2017,11,18,22,77.17
2017-11-18 23:00:00,2017,11,18,23,77.33
2017-11-19 00:00:00,2017,11,19,0,75.65
2017-11-19 04:00:00,2017,11,19,4,80.47
2017-11-19 05:00:00,2017,11,19,5,81
2017-11-19 06:00:00,2017,11,19,6,75.51
2017-11-19 07:00:00,2017,11,19,7,70.66
2017-11-19 08:00:00,2017,11,19,8,70
2017-11-19 09:00:00,2017,11,19,9,67.65
2017-11-19 10:00:00,2017,11,19,10,61.8
2017-11-19 11:00:00,2017,11,19,11,61.05
2017-11-19 12:00:00,2017,11,19,12,59.71
2017-11-19 13:00:00,2017,11,19,13,68.26
2017-11-19 14:00:00,2017,11,19,14,80.31
2017-11-19 15:00:00,2017,11,19,15,90.17
2017-11-19 17:00:00,2017,11,19,17,92.86
2017-11-19 18:00:00,2017,11,19,18,95.28
2017-11-19 19:00:00,2017,11,19,19,95.08
2017-11-20 00:00:00,2017,11,20,0,74.28
2017-11-20 01:00:00,2017,11,20,1,74.49
2017-11-20 02:00:00,2017,11,20,2,74.45
2017-11-20 03:00:00,2017,11,20,3,77.17
2017-11-20 09:00:00,2017,11,20,9,61.98
2017-11-20 10:00:00,2017,11,20,10,59.46
2017-11-20 11:00:00,2017,11,20,11,48.98
2017-11-20 12:00:00,2017,11,20,12,52.8
